silver_module,category,source_dataset,source_type,main_category,output_path_parquet,output_path_csv_gz,output_path_metadata,row_count,binary_label_distribution,label_distribution,schema_version,license,license_compatibility,input_hash,status,duration_seconds,created_at_utc,notes
cti_mitre_attack_stix,"Threat Intelligence, CVE, Advisory & Taxonomy",mitre_attack_stix,cti_taxonomy,"Threat Intelligence, CVE, Advisory & Taxonomy",data/silver_normalized/cti_mitre_attack_stix/cti_mitre_attack_stix.parquet,data/silver_normalized/cti_mitre_attack_stix/cti_mitre_attack_stix.csv.gz,data/silver_normalized/cti_mitre_attack_stix/cti_mitre_attack_stix_metadata.json,918,"{""1"": 918}","{""attack_technique"": 918}",1.0.0,Apache-2.0,permissive,875b9bf7b9f4692e6c55b83150aac4c77e83716ef633e3794be2592063df37b0,ok,0.517,2026-05-24T17:57:28.254047+00:00,
host_otrf_security_datasets,"Endpoint, Host & Windows/Sysmon Telemetry",otrf_security_datasets,host_telemetry,"Endpoint, Host & Windows/Sysmon Telemetry",data/silver_normalized/host_otrf_security_datasets/host_otrf_security_datasets.parquet,data/silver_normalized/host_otrf_security_datasets/host_otrf_security_datasets.csv.gz,data/silver_normalized/host_otrf_security_datasets/host_otrf_security_datasets_metadata.json,113,"{""1"": 113}","{""attack_technique"": 113}",1.0.0,UNKNOWN,unknown,f5692f206a8e6579f3630e081d42cbe4eff18abe0398f8eae288e8f79f6ecfef,ok,0.873,2026-05-24T18:14:31.433878+00:00,
malware_cic_malmem_2022,Malware & PE/Memory Features,cic_malmem_2022,malware_features,Malware & PE/Memory Features,data/silver_normalized/malware_cic_malmem_2022/malware_cic_malmem_2022.parquet,data/silver_normalized/malware_cic_malmem_2022/malware_cic_malmem_2022.csv.gz,data/silver_normalized/malware_cic_malmem_2022/malware_cic_malmem_2022_metadata.json,350,"{""1"": 350}","{""malicious"": 350}",1.0.0,RESTRICTED:CIC-Academic,restricted_academic,49efc7580aeb8d42883978254f5871274343da14231ef80897a7befe33f3742d,ok,0.058,2026-05-24T18:19:20.228514+00:00,
network_unsw_nb15,Network Intrusion & Traffic Attacks,unsw_nb15,network_flow,Network Intrusion & Traffic Attacks,data/silver_normalized/network_unsw_nb15/network_unsw_nb15.parquet,data/silver_normalized/network_unsw_nb15/network_unsw_nb15.csv.gz,data/silver_normalized/network_unsw_nb15/network_unsw_nb15_metadata.json,50000,"{""0"": 20520, ""1"": 29480}","{""benign"": 20520, ""intrusion"": 29480}",1.0.0,RESTRICTED:UNSW-Academic,restricted_academic,06b60561701c0cad982a99be51816d00856a287e727d1c068c98e07b4fa0c783,ok,4.036,2026-05-24T18:19:24.865593+00:00,
phishing_balanced_urls,"Phishing, Social Engineering & Fraud",phishing_balanced_urls,phishing_url,"Phishing, Social Engineering & Fraud",data/silver_normalized/phishing_balanced_urls/phishing_balanced_urls.parquet,data/silver_normalized/phishing_balanced_urls/phishing_balanced_urls.csv.gz,data/silver_normalized/phishing_balanced_urls/phishing_balanced_urls_metadata.json,50000,"{""0"": 26066, ""1"": 23934}","{""benign_url"": 26066, ""phishing"": 23934}",1.0.0,UNKNOWN,unknown,0f64ed22f2e3521d48002b501eee5fa5f6ab12e3bebdca9841f0a9af9823c580,ok,3.404,2026-05-24T17:57:32.290919+00:00,
phishing_phishtank,"Phishing, Social Engineering & Fraud",phishtank,phishing_url,"Phishing, Social Engineering & Fraud",,,data/silver_normalized/phishing_phishtank/phishing_phishtank_metadata.json,0,{},{},1.0.0,RESTRICTED:PhishTank,restricted_other,7252a7b608538108b91e1ccefaee52e88da7c7994d72678561979228391025a0,blocked,0.015,2026-05-24T18:16:23.877859+00:00,Local PhishTank file is not a valid CSV export; it contains a rate-limit response instead of URL records.
supply_chain_github_advisory,Supply Chain & Open Source Package Security,github_advisory_database,package_metadata,Supply Chain & Open Source Package Security,data/silver_normalized/supply_chain_github_advisory/supply_chain_github_advisory.parquet,data/silver_normalized/supply_chain_github_advisory/supply_chain_github_advisory.csv.gz,data/silver_normalized/supply_chain_github_advisory/supply_chain_github_advisory_metadata.json,50000,"{""1"": 50000}","{""vulnerable_dependency"": 50000}",1.0.0,CC-BY-4.0,permissive,e23651049860a3ac0bf5246ec89f50d0e34f36a997bb8a990545b97c451fe3c2,ok,13.2,2026-05-24T17:57:49.419410+00:00,
supply_chain_osv,Supply Chain & Open Source Package Security,osv,package_metadata,Supply Chain & Open Source Package Security,data/silver_normalized/supply_chain_osv/supply_chain_osv.parquet,data/silver_normalized/supply_chain_osv/supply_chain_osv.csv.gz,data/silver_normalized/supply_chain_osv/supply_chain_osv_metadata.json,49827,"{""1"": 49827}","{""vulnerable_dependency"": 49827}",1.0.0,CC-BY-4.0,permissive,3da28d0047fd3fcf1e794d375263c98dd4691923f9047791a2ce3b9a332607c3,ok,25.805,2026-05-24T17:59:06.083657+00:00,
vulnerable_code_sard_juliet,Vulnerable Code & Software Weaknesses,2017-10-01-juliet-test-suite-for-c-cplusplus-v1-3.zip,vulnerable_code,Vulnerable Code & Software Weaknesses,data/silver_normalized/vulnerable_code_sard_juliet/vulnerable_code_sard_juliet.parquet,data/silver_normalized/vulnerable_code_sard_juliet/vulnerable_code_sard_juliet.csv.gz,data/silver_normalized/vulnerable_code_sard_juliet/vulnerable_code_sard_juliet_metadata.json,50000,"{""0"": 2782, ""1"": 47218}","{""non_vulnerable_code"": 2782, ""vulnerable_code"": 47218}",1.0.0,UNKNOWN,unknown,b65748bc732b7a27d5ffff412908beb5e567de4ec4a25ae72f61c6afea2c0798,ok,22.784,2026-05-24T18:15:17.119476+00:00,
web_owasp_benchmark,Web Application Security,owasp_benchmark,web_app_request,Web Application Security,data/silver_normalized/web_owasp_benchmark/web_owasp_benchmark.parquet,data/silver_normalized/web_owasp_benchmark/web_owasp_benchmark.csv.gz,data/silver_normalized/web_owasp_benchmark/web_owasp_benchmark_metadata.json,2740,"{""0"": 1325, ""1"": 1415}","{""non_vulnerable_code"": 1325, ""vulnerable_code"": 1415}",1.0.0,GPL-2.0-only,restricted_other,82185912a6498f9d8b3642a75e1609d09015747c00b84a4f4c0825c1f0334c23,ok,2.117,2026-05-24T18:19:32.053538+00:00,
